trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
616,False,"{'a': 0.3700502623221853, 'e': 0.5401005246443706}",20,8,-33.944566727574234,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
617,False,"{'a': 0.3697803470399972, 'e': 0.5395606940799943}",20,0,16.586062760925415,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
618,False,"{'a': 0.36951070153817855, 'e': 0.539021403076357}",25,13,-8.013184170725541,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
619,False,"{'a': 0.3692413255470839, 'e': 0.5384826510941678}",30,0,-35.390340699902865,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
620,False,"{'a': 0.3689722187973372, 'e': 0.5379444375946745}",30,7,-31.12251229442087,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 0}",1
621,False,"{'a': 0.3687033810198318, 'e': 0.5374067620396636}",25,18,-12.772938513244341,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
622,False,"{'a': 0.3684348119457298, 'e': 0.5368696238914595}",25,11,-30.900038115520843,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 0}",1
623,False,"{'a': 0.36816651130646205, 'e': 0.5363330226129241}",25,11,1.7692946002203995,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
624,False,"{'a': 0.36789847883372806, 'e': 0.535796957667456}",25,15,-14.143374434123585,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
625,False,"{'a': 0.3676307142594951, 'e': 0.5352614285189903}",20,0,8.587088646532077,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
626,False,"{'a': 0.36736321731599875, 'e': 0.5347264346319975}",30,0,-54.408597171465196,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",0
627,False,"{'a': 0.36709598773574204, 'e': 0.5341919754714841}",20,0,-70.318451353356,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",0
628,False,"{'a': 0.3668290252514953, 'e': 0.5336580505029906}",20,0,19.57345930736576,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
629,False,"{'a': 0.3665623295962961, 'e': 0.5331246591925921}",20,0,-21.7602693052386,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
630,False,"{'a': 0.3662959005034486, 'e': 0.5325918010068972}",20,0,-6.413962140770003,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
631,False,"{'a': 0.3660297377065238, 'e': 0.5320594754130477}",20,8,10.693434083543504,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
632,False,"{'a': 0.365763840939359, 'e': 0.5315276818787179}",20,6,-11.397640288704782,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
633,False,"{'a': 0.3654982099360572, 'e': 0.5309964198721143}",20,4,-89.38640745022728,"{0: 10, 1: 1, 2: 2, 3: 2, 4: 1}",1
634,False,"{'a': 0.36523284443098747, 'e': 0.5304656888619749}",20,12,-7.122791902503524,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
